"","s161_P3_258","s180_P2_392","s201_P2_195","s217_P2_360","s220_P3_264","s259_P1_379","s282_P2_631","s295_P2_794","s332_P2_760","s359_P2_950","s364_P2_972","s697_P2_870"
"AAK1",1.292310519,0.488501273,1.362808491,0.459271524,1.840537341,0.467522218,0.416062533,1.578298318,1.010342804,0.922809421,0.660133694,2.031151523
"AAMP",1.874655196,1.075001293,2.008658235,0.781241466,2.102693239,1.036490973,1.922263298,0.845593358,1.584425054,0.971745302,1.535589458,3.026426409
"AATK",0.00666565,0.043192615,0.063543692,0.011498841,0.001999695,0.007435964,0.01667332,0.022292962,0.00287471,0.034832754,0.035151829,0.008665345
"ABCA1",0.364893942,0.660827967,1.023049201,0.534022359,0.301813714,1.648196811,0.437758471,1.450443493,0.574934556,0.985963772,3.03036546,0.404140559
"ABCA10",0,0.005531299,0.002749126,0.000536483,0,0.006414628,0,0,0.001072967,0.000425452,0,0.002719977
"ABCA12",0.75656741,0.586089155,0.635885934,0.091319401,0.356687398,0.739950449,0.559248009,0.196039049,0.00399939,0.399514061,0.477776864,3.80245207
"ABCA13",0.213370744,0.17682884,0.016282928,0.243012003,0.007951705,3.105035645,0.006437404,0.12092811,0,0.088985977,0.044196518,0.345236514
"ABCA2",0.074454067,0.201602125,1.315993428,0.558501886,0.112745156,0.439948639,0.41978398,1.133523355,0.648263837,0.846272663,0.063841534,0.666257113
"ABCA3",0.478829232,0.103090601,2.776005002,0.161991481,0.152307337,0.072431703,0.256836235,1.934265321,0.98958078,0.435296483,0.940148869,0.21913166
"ABCA4",0.529981428,0.005749421,0.7465401,0.544784268,0.270398688,0.677895906,0.050159165,0.05117042,0.358080708,0.166733776,0.095984689,2.623852873
"ABCA5",0.058182393,0.288441206,0.226091286,0.164334569,0.053619068,0.411188379,0.168973726,0.069783975,0.048372871,0.141894858,0.036210398,0.637724656
"ABCA6",0,0.003632805,0,0,0,0.008899635,0,0,0,0.000454101,0,0
"ABCA7",0.177776824,0.188305163,0.699034923,0.077433081,0.229127293,0.234825563,0.187624675,0.187233806,0.063817772,0.947429817,0.326398113,0.214890027
"ABCA8",0.000715907,0.00436273,0.031055362,0.001043201,0.000715907,0.005031808,0.00701657,0,0.001043201,0.018290834,0.007054603,0
"ABCA9",0.001149884,0.015355657,0.009753171,0.00202799,0,0.009760138,0.002213213,0.000666565,0.000675997,0.004665955,0.017548741,0.000574942
"ABCB1",0.003877663,0.008851431,0.006626421,0.025098287,0.008529153,0.100058951,0.014830806,0.005632729,0.010267481,0.006437404,0.032469461,0.005427643
"ABCB11",0.001552646,0,0.000410436,0,0.000517549,0.005335666,0,0,0.001768065,0.000874659,0.020111357,0.010868524
"ABCB4",0.004736363,0.02354553,0.007878912,0.015448518,0.000789394,0.02026006,0.074152888,0.005433584,0.010041537,0.014489557,0.013506707,0.001578788
"ABCB5",0,0,0,0,0,0.000780729,0,0,0,0,0,0
"ABCB6",0.355627039,0.588018347,0.79736144,0.27685574,0.25852206,1.144926091,0.255083445,0.127157768,0.15740051,0.457804142,0.367444866,2.203269659
"ABCC1",0.017953796,0.007090454,0.007584118,0.004704915,0.015927424,0.016123572,0.009414012,0.011413236,0.012124703,0.004784465,0.009123132,0.100295112
"ABCC10",0.000162187,0.000164427,0.000557763,0.000204266,0.000325666,9.01e-05,0.000432562,0.000321447,0.000152023,0.000179982,0.000941978,0.000315336
"ABCC11",2e-05,0.000335118,8.61e-06,8.07e-05,4e-05,0.000146303,2.93e-05,0.000234595,8.8e-05,0,6.88e-05,0.00086022
"ABCC2",0.000228225,0.006975476,9.27e-05,0.000258258,4.03e-05,0.000357417,2.77e-05,7.61e-05,0.000700986,5.71e-05,0.000445668,0.013923849
"ABCC3",0.080902278,0.073780842,0.08990704,0.015904102,0.039030302,0.011708539,0.052360983,0.069214404,0.016196006,0.065481073,0.028697921,0.060280599
"ABCC4",0.004704512,0.000612063,0.001839117,0.002021939,0.006233667,0.001105466,0.03420064,0.001540407,0.004642971,0.003187426,0.001686897,0.004293937
"ABCC5",0.00218205,0.008792569,0.005825977,0.008483325,0.004098727,0.011251574,0.018453204,0.005017752,0.006471166,0.004263938,0.006049501,0.0443889
"ABCC6",0.000330052,0.000406363,0.004564358,0.003368806,3.05e-05,0.000491249,0.003300989,0.008385607,0.001451001,0.000374971,0.001501467,5.95e-05
"ABCC8",0,1.6e-05,5.02e-07,4.87e-06,0,1.61e-05,1.35e-05,0,1.08e-06,0,0,6.33e-07
"ABCC9",0.000552194,7.43e-05,0.000631705,2.27e-05,7.69e-05,0.000105226,5.41e-05,3.01e-05,0.001114252,3e-05,0.002215684,2.31e-05
"ABCG1",0.021640532,0.130770674,0.021277859,0.092354727,0.02009478,0.141298281,0.094054502,0.018774008,0.015581271,0.16572917,0.042555718,0.086562903
"ABCG2",0.020992858,0.042313411,0.010677584,0.049804622,0.005419347,0.075170189,0.016601541,0.038665703,0.038255724,0.010578353,0.08542067,0.123290152
"ABCG4",4.04e-05,1.39e-05,0.000127526,6.5e-05,6.06e-05,0.000240883,3.25e-05,5.55e-05,3.25e-05,0,0.000155865,0.000262648
"ABCG5",0,0,0,1.94e-05,0,0,6.48e-06,0,0,0,0,0
"ABCG8",0,0,1.46e-06,1.2e-06,0,0,0,0,0,0,0,0
"ABHD2",5.725308049,5.551698137,2.565541066,2.684364879,6.434599251,1.863308778,1.113401349,5.313431513,4.911600802,4.032679272,2.908283588,6.967304818
"ABI1",0.816189024,0.700393874,2.608162434,0.463630973,0.906242704,1.647351512,0.897423421,1.102685311,1.124648277,0.920198128,1.140624622,1.999359077
"ACE",0.001893995,0.009119284,0.008770654,0.00479568,0.004118359,0.007039127,0.005703003,0.00207986,0.005314164,0.006170944,0.008563603,0.001475554
"ACE2",3.85e-05,0.000464908,4.03e-05,0.000173733,3.21e-06,0.000177568,2.75e-05,0.000284414,2.5e-06,9.68e-05,0.00041333,3.21e-05
"ACHE",7.12e-05,0.000246118,3.37e-05,0.001561061,1.26e-05,2.57e-05,0.000235505,9.78e-05,1.08e-05,0.00014376,0.000100981,4.47e-05
"ACKR1",0,0,0,0,6.06e-05,0,0,0,0,0,0,0
"ACKR2",2.1e-05,0.001354948,7.15e-05,0.001388833,0.003078338,0.005084589,0.000493401,0.011199681,7.31e-05,7.82e-05,0.02926133,0.000377355
"ACKR3",0.000117747,0.000121396,0.00076222,0.000126744,0.000103029,0.005147259,0.000549224,4.64e-05,0.000137306,0.001210565,0.000258122,0.036354401
"ACKR4",5.97e-05,0.000635737,1.4e-05,3.62e-06,2.98e-06,1.4e-05,0.000406234,0,7.25e-06,8.18e-05,6.98e-06,5.97e-06
"ACTN1",0.00998408,0.016675887,0.023998462,0.041734306,0.014604277,0.022194573,0.111183267,0.01374506,0.066932749,0.010002804,0.032513672,0.054723844
"ACVR1",0.003595296,0.002570597,0.006972239,0.001910357,0.003720592,0.004064986,0.003588259,0.003451431,0.005283067,0.004649845,0.004088856,0.00354657
"ACVR1B",0.040803141,0.037314148,0.053921789,0.017878338,0.032609034,0.015444044,0.065315189,0.032801263,0.033197474,0.031594759,0.046230395,0.103648184
"ACVR1C",0.000258029,0.000133493,0.000478482,4.85e-05,8.85e-05,0.000379596,0.000145555,0,0.000140331,7.08e-05,0.00052633,0.000306093
"ACVR2A",0.008972708,0.009379937,0.007727512,0.010510798,0.009019152,0.023541066,0.027417943,0.006093801,0.008677985,0.009927962,0.013074765,0.013714691
"ACVR2B",0.016105165,0.007900015,0.067658146,0.020379985,0.016779335,0.01787475,0.140343989,0.009683889,0.079555279,0.020387135,0.059616207,0.035359002
"ACVRL1",0.003723307,0.005233203,0.003515931,0.007954358,0.002351563,0.005231019,0.008890165,0.002415325,0.008656213,0.002918517,0.005488283,0.00940625
"ADA",2.49e-06,1.84e-05,0.00018364,1.46e-05,6.65e-06,5.8e-05,0.000147345,0,0.000236399,4.18e-05,7.73e-06,0.000371697
"ADAM10",0.004253483,0.003577972,0.017059393,0.004620392,0.009964436,0.018241838,0.012033044,0.007150484,0.01082948,0.007252204,0.018665941,0.009661862
"ADAM11",1.15e-06,1.88e-05,4.6e-05,2.7e-06,7.48e-06,1.71e-05,1.01e-05,9.42e-06,2.09e-05,3.3e-05,9.73e-05,2.13e-05
"ADAM12",3.19e-06,1.64e-06,1.61e-06,1.08e-06,2.19e-06,2.66e-06,4.16e-06,7.21e-07,2.35e-05,3.6e-07,3.94e-06,1.89e-06
"ADAM15",0.022921204,0.015378901,0.05938908,0.015118418,0.018115603,0.01168348,0.031536135,0.117711864,0.037236871,0.031618747,0.026151871,0.021362198
"ADAM17",0.32125452,0.070982714,0.202233923,0.113024517,0.322816301,0.098414821,0.800841365,0.300229709,0.208207914,0.170992175,0.246605639,0.947851421
"ADAM19",0.003322214,0.006956915,0.00269943,0.000710354,0.037190339,0.003215497,0.002367846,0.001391383,0.067160936,0.00162328,0.003413985,0.038020893
"ADAM2",0,1.93e-05,0,1.91e-05,0,0,0,0,0,0,0,0
"ADAM20",0,0,4.85e-06,2.78e-06,6.92e-06,2.42e-06,2.78e-06,0,0,4.75e-06,2.42e-06,2.42e-05
"ADAM21",8.78e-07,0,2.79e-06,0,0,9.29e-07,7.65e-07,0,1.27e-06,5.96e-06,4.64e-06,3.91e-06
"ADAM22",8.3e-05,5.05e-05,0.00352188,0.000154163,3.98e-05,0.000663628,0.000810896,7.78e-06,0.000798563,0.000416006,1.97e-05,8.63e-05
"ADAM23",0.000126631,0.004025234,0.000803748,0.000337232,0.000196496,0.000844703,0.000407224,0.000218663,0.000483578,0.000209738,0.00087542,0.01230991
"ADAM28",2.09e-05,0.000161541,1.51e-06,2.62e-05,6.77e-05,9.7e-05,7.93e-05,5.27e-05,1.83e-05,0.00012476,0,2.87e-05
"ADAM29",0.000303731,0,0.00051914,0.000148962,0,8.65e-05,0.000148962,0,0,0,0,0
"ADAM30",0,0,0,0,0,0,1.1e-05,0,0,0,0,0
"ADAM32",4.6e-06,1.67e-05,1.56e-05,8.41e-06,4.6e-06,0.000171221,7.29e-06,3.33e-06,2.97e-05,6.66e-05,1.51e-05,3.28e-06
"ADAM8",0.196962826,0.039532307,0.007941238,0.037860251,0.285057373,0.032524843,0.103251699,0.148328994,0.297874861,0.053483593,0.062314062,0.001470057
"ADAM9",0.012214551,0.006118513,0.004602231,0.000856737,0.034135813,0.000869823,0.006009089,0.010533171,0.012688056,0.004676624,0.008246546,0.011328189
"ADAP1",0.042701392,0.012179069,0.020936353,0.017620354,0.015491675,0.010142679,0.007912052,0.004562526,0.033024949,0.016484051,0.000789231,0.015158518
"ADAP2",4.02e-05,1.38e-05,0.00079982,1.65e-05,9.1e-05,5.38e-05,2.41e-05,0.000102403,0.000210704,5.4e-05,0.000668855,0.000190319
"ADCY1",3.08e-05,6.15e-05,7.5e-06,1.34e-05,0.000820066,3.66e-05,0.000740642,1.09e-05,1.53e-05,4.92e-05,6.56e-06,6.49e-05
"ADCY2",0.000293874,0.000629064,0.000112369,0.000167562,0.000326526,0.000716352,0.000143625,0.000164104,0.0001915,0.000300857,0.000337107,6.53e-05
"ADCY3",0.003390013,0.00180551,0.012397267,0.000324291,0.001995657,0.002401333,0.010284658,0.00351646,0.01298804,0.003038886,0.009159138,0.013796171
"ADCY4",0.000230276,0.000487829,0.000217668,0.000418889,0.000140158,0.000533654,0.000306097,0.000212996,0.000169164,0.000714553,0.000407255,0.000547055
"ADCY5",8.78e-05,8.77e-05,0.003235307,0.000171895,0.000140461,0.00040252,0.015271631,0.001719158,0.00012666,6.72e-05,9.09e-05,1.98e-05
"ADCY6",0.000493317,0.0004701,0.001412055,0.000316715,0.000263867,0.000393981,0.00138293,0.001831337,0.000218236,0.000861612,0.000140093,0.000841113
"ADCY7",0.001279838,0.000809366,0.00275094,0.0014648,0.000980148,0.001080136,0.000976534,0.000817351,0.012272279,0.000179255,0.002126076,0.006260702
"ADCY8",0,0,0,0,0,1.01e-05,0.000510888,0,0,0,0.000191536,0
"ADCY9",0.00040192,0.000321968,0.002436198,0.003309629,4.71e-05,0.000359546,0.000863249,0.003529873,0.001975101,0.000558362,0.001212393,0.00093886
"ADCYAP1R1",1.99e-05,3.1e-05,8.5e-05,4.39e-05,7.96e-05,0.000127551,4.39e-05,1.03e-05,0.000204957,1.03e-05,0.000119047,1.99e-05
"ADD1",0.005357154,0.00332525,0.013181221,0.00493876,0.004992392,0.010055947,0.016280297,0.002892753,0.01958485,0.003752776,0.008578141,0.005266057
"ADD2",5.03e-05,0.002515595,0.000103688,0.000317819,1.01e-05,0.000175472,0.000334999,0,0.003307038,6.8e-05,8.77e-05,0.024550446
"ADD3",0.001534754,0.001899064,0.000162756,5.98e-05,0.002788193,0.000839233,0.001025441,9.12e-05,0.00101929,0.001156203,0.000989648,0.001798206
"ADGRA1",0,0,0,2.24e-06,0,0,0,0,0,0,0,0
"ADGRA2",0.001084702,0.000550269,0.001111126,0.000589793,0.000820855,0.001629674,0.000624487,0.000467729,0.001370402,0.000357675,0.001748196,0.001114018
"ADGRA3",0.031431088,0.031538661,0.036459118,0.018121197,0.040521033,0.018958549,0.070901619,0.00080955,0.029642114,0.044491533,0.028722548,0.03213302
"ADGRB1",6.72e-05,0.001336097,0.000831486,0.000546262,0.002619656,0.00058204,0.000610528,0,0.006137381,0.000749518,2.77e-05,0.009672012
"ADGRB2",0.000204658,0.006929552,0.001237294,0.000786996,0.001569043,0.002155287,0.009756429,0.031065271,0.009153673,0.008634501,0.003193017,0.004707096
"ADGRB3",0,0,0,0,0,0.000125375,0,0,0,0.000305162,0.000188062,0
"ADGRD1",1.81e-05,3.05e-05,0.000477522,0.000402667,0.000200761,6.06e-05,0.000100665,5.17e-05,1.68e-06,0,0,2.6e-05
"ADGRD2",0,0,0,0,0,0,4.66e-06,0,0,0,0,1.93e-05
"ADGRE1",3.25e-07,0,3.21e-07,5.36e-06,5.92e-05,0,0,2.77e-07,0,8.3e-07,1.6e-06,6.18e-05
"ADGRE2",3.04e-06,0,0.00073815,1.82e-06,3.71e-05,3.49e-05,0,0,5.67e-06,0,4.41e-06,0.001518307
"ADGRE3",0,0,0,5.43e-05,0,0.000159343,0,0,0,0,0,0
"ADGRE4P",0,0,0,0,0,0,0,0,0,0,8.63e-06,0
"ADGRE5",0.049970612,0.028886007,0.080199517,0.035119402,0.099872311,0.022239071,0.011276786,0.0238017,0.169178533,0.086620246,0.049139605,0.042426861
"ADGRF1",0.068565915,0.011357129,0.529901513,0.018512041,0.076710827,0.112529986,0.02985585,0.526122875,0.015658681,0.156093581,0.245644165,0.053360403
"ADGRF2",0.000678516,0,0.003138086,0.002231532,0.00131712,0.000102329,0.000587245,0.00049705,0.000880868,0.000165683,3.41e-05,0.001516683
"ADGRF3",2.14e-05,6.07e-06,2.48e-05,0.000104037,7.12e-06,2.48e-05,3.47e-05,2.12e-05,1.39e-05,0,4.97e-05,5.7e-05
"ADGRF4",0.002897465,7.26e-05,0.000635755,0.000193175,0.006847399,0.000524498,9.05e-05,0.001137085,0.001056351,0.000256449,0.000669813,0.003513033
"ADGRF5",0.0530346,0.044038549,0.061716933,0.227900939,0.066200242,0.000774641,0.240738211,0.634951698,0.002335264,0.087252595,0.018342388,0
"ADGRG1",0.036463842,0.143327814,0.051349148,0.055874289,0.064453965,0.145270891,0.116421231,0.124941838,0.0464582,0.039013782,0.000196489,0.118249922
"ADGRG2",0,0.000136081,6.07e-05,4.13e-05,0.000214212,0.000425179,0.000418723,1.51e-05,0.0004718,7.56e-05,0.00018222,6.12e-05
"ADGRG3",0,1.5e-05,2.52e-06,1.29e-06,0,5.04e-06,7.77e-06,3.01e-06,0,6.02e-06,2.52e-06,0
"ADGRG4",0,0,0,0,0,0,0,0,0,0,0,0
"ADGRG5",0,0,0,0,1.54e-06,0,1.35e-06,1.92e-06,0,0,9.21e-06,0
"ADGRG6",0.003229955,0.00045307,0.006854891,0.001153662,0.010422407,0.001303359,0.005868172,0.002252022,0.013789477,0.002915636,0.004841687,0.005130581
"ADGRG7",0,1.04e-05,0,0,0,2.12e-05,7.33e-06,0,1.47e-05,0,0,0.000150885
"ADGRL1",0.000147921,0.000109229,0.000795663,0.000204752,0.000160247,0.000122796,0.000217355,0.001800724,0.000350751,0.000968935,0.000273221,0.001181428
"ADGRL2",0.011995451,0.004983454,0.004551913,0.017399036,0.037802298,0.020285067,0.074619097,0.002348212,0.003407526,0.025125894,0.019307444,0.004239794
"ADGRL3",0.001562971,0.000116261,7.28e-05,5.72e-05,9.56e-05,9.77e-05,0.00200501,1.5e-05,5.28e-05,7.88e-05,0.000661166,0.001303417
"ADGRL4",0,8.88e-07,0,0,1.04e-06,0,0,8.88e-07,7.1e-05,8.88e-07,8.85e-05,0
"ADGRV1",2.51e-05,0.001278095,0.008583205,0.002606878,0.000117008,0.001220277,0.00085925,0.000261299,9.71e-06,0.003220799,0.000453925,9.19e-05
"ADIPOR1",0.066267544,0.061416663,0.154544903,0.0644381,0.080495959,0.076731882,0.088318973,0.225138269,0.117966832,0.136352936,0.072569521,0.084447367
"ADIPOR2",0.354622274,0.055474186,0.213359667,0.126834776,0.290145852,0.139243021,0.222958521,0.168615677,0.836069199,0.197495007,0.247771898,0.833216741
"ADORA1",0,0.000395899,0.07588262,0.003777764,2.98e-05,0.00300456,0.017195341,0,0.01415576,0.000182723,0.003039497,8.94e-05
"ADORA2A",0,2.66e-05,0.001041616,2.23e-05,2.57e-05,8.12e-05,6.99e-05,0.000166135,0.000113291,8.52e-05,0.00109446,0
"ADORA2B",0.005802192,0.000258092,0.011529882,0.001105844,0.005309999,0.004026723,0.001916796,0.002847073,0.010159482,0.002427674,0.013290169,0.009030009
"ADORA3",0,0,1.32e-06,0,0,2.63e-06,0,8.41e-06,1.42e-06,0,0,0
"ADRA1A",0,0,0,0.003488717,0,0.000682609,0.006278435,0,0,0.00099468,0,0
"ADRA1B",0.050617723,0.01403335,0.121145389,0.032518245,0.250196174,0.012532282,0.00553502,0.001403335,0.069879634,0.07507842,0.001193551,0.010123545
"ADRA1D",0,0.002398671,0.00081514,0.000845941,0,0.013857388,0.010151291,0.002398671,0,0,0,0.000696624
"ADRA2A",0.01135241,0.042790728,0.045171848,0.008322396,0.025542924,0.014650329,0.011963444,0.003565894,0.013003743,0.016640839,0.046392709,0.005676205
"ADRA2B",0,0.004074006,0,0.004478677,0,0.00106004,0.011644559,0.002263337,0.003582941,0.002716004,0.003710139,0.015552058
"ADRA2C",0,0.031553599,0.018748105,0.001720635,0,0.001499848,0.002580952,0.004402828,0.009463492,0,0.000749924,0.063087577
"ADRB1",0.001478179,0.00942905,0.024778442,0.105111318,0.001478179,0.032066219,0.05636404,0.018229497,0.025896991,0.048402457,0.002915111,0.042867205
"ADRB2",0.049235874,0.010039098,0.061352978,0.017158942,0.165760776,0.135439593,0.040037531,0.025655473,0.046716172,0.201897419,0.011576034,0.451328845
"ADRB3",0,0,0,0,0,0,0.001419051,0,0,0,0,0
"AGRN",7.876200508,4.740245056,5.95999837,1.875669409,12.73269011,3.329890602,6.313837255,8.346383742,3.523506741,9.421313499,2.765432531,8.348161972
"AGTR1",0.000926219,0.004406601,0.005226407,0.00161396,0.000926219,0.025478735,0.009145773,0.007554173,0.001075973,0.001888543,0.000653301,0
"AGTR2",0,0,0.000434646,1.505943903,0,0.001303937,0.001185783,0,0,0,0.005215748,0
"AHNAK",11.84710683,15.385592,20.33424872,4.675399247,9.523171726,24.25777797,1.500461825,12.74261764,29.64803828,20.3260025,22.09198073,14.66766042
"AHNAK2",6.530138755,0.735017545,4.071096919,0.260937346,6.45344115,4.147888209,0.083764913,0.215535054,10.05599709,2.935303078,0.279469899,19.34784757
"AJAP1",0,0,0,0,0,1.93e-07,0,0,0,0,0,1.14e-06
"AKAP11",0.541573492,0.529635134,0.501158558,0.395073928,1.350620709,0.456524882,0.863866313,0.233887557,2.08845684,0.791800698,0.385694149,0.775460577
"ALCAM",4.97832189,25.14321255,12.86597366,1.312088918,2.575565383,4.476963523,4.17074845,0.060056681,4.363794586,8.512488587,7.837780828,1.507483922
"ALG10B",0.198653842,0.31467086,0.679722655,0.096167943,0.245568011,0.240571428,0.160664236,0.274922355,0.177723759,0.643038117,0.290862463,0.218450178
"ALK",0.001193551,0.001383755,0,0.046310054,0.000596775,0.001446221,0,0,0,0,0,0.004177427
"ALOX15B",0,0.032189009,0.154140174,0.776450408,0.006872815,0.001813318,0.035738378,6.535895558,0.011061747,0.055257798,0.007253271,0.111798255
"ALPI",0,0.001738583,0,0,0,0,0,0,0,0,0,0
"ALPL",0,0.11403921,0.065830187,1.533006687,0.003258439,0.053126116,0.50158309,0.420605913,0.111462909,0.000670823,0.001154916,0.008960707
"ALPP",0,0.005676205,0.007127034,0.037263112,0.003641048,0.002377263,0,0.002828169,0.002441111,0.078520366,0.002377263,0.003641048
"AMER1",0.051847296,0.11859962,0.22967307,0.033098606,0.056036976,0.076419249,0.12479069,0.200026224,0.262105177,0.115944404,0.085141011,0.294325053
"AMER2",0.000952285,0.001092467,0.001357817,0.000931815,0,0,0.000931815,0.002184933,0,0,0.006789085,0
"AMHR2",0.004309915,0.000505609,0.00381159,0.00191268,0.001077479,0.00381159,0,0.013145844,0,0,0.008712207,0
"AMIGO1",0.015182073,0.0842845,0.297838348,0.157925213,0.008097105,0.151943312,0.322026272,0.329590132,0.104107124,0.00503191,0.087193255,0.082559099
"AMIGO2",6.401054459,1.085249057,7.214302991,0.226356769,8.294096371,0.462740366,1.068807946,1.145990786,3.023799078,1.556930911,1.666620462,5.799285957
"AMN",0.069574548,0.244992904,0.109588922,0.046801269,0.102652113,0.091990701,0.024777143,0.014871774,0.001835344,0.042310979,0.147185122,0.078699079
"AMOT",6.93e-05,0.000225594,3.73e-06,0.000337057,4.52e-05,2.89e-05,0.000226893,0.000997807,7.68e-07,8.83e-05,3.23e-05,1.24e-05
"AMPH",0,0.000368943,0,0,0,0.004026146,0.125620905,0.005165208,0,0.000737887,0.001006536,0.003463837
"ANGPT1",0.041294527,0.061674706,0.048881415,0.032020565,0.014803698,0.054436122,0.028208593,0.007150691,0.012198311,0.011619872,0.241115359,0.666165649
"ANK2",0.000302288,0.000164945,7.23e-05,0.000180443,7.56e-05,0.000159148,0.000157894,3.88e-05,0.001528125,8e-05,0.000179819,0.000732103
"ANK3",0.000165438,0.00029703,0.001449283,0.000119557,0.000216892,0.000365853,0.000537891,0.001100562,0.000373803,0.000355997,0.000537331,0.000475297
"ANKH",2.38e-05,0.000445857,0.000887753,3.07e-05,2.84e-05,0.000303726,0.0008409,4.11e-05,0.000282825,9e-05,0.000109007,0.001539465
"ANKRD13A",1.735723848,0.367462856,5.19754423,0.755982711,1.034947036,0.763962759,1.284012898,2.645732561,4.906530433,0.872911763,3.42749441,1.03194871
"ANKS1B",1.36e-07,5.31e-07,4.94e-06,8.43e-08,4.54e-08,2.69e-07,3.33e-06,1.81e-06,0,1.22e-06,8.98e-08,4.54e-08
"ANO1",0.004121746,0.011893853,0.021360382,6.71e-05,0.003758813,0.009109364,0.005656994,0.00387428,0.13589914,0.000514768,5.26e-05,0.084365874
"ANO2",0,0,0,1.14e-05,0,2.22e-05,3.43e-05,2.65e-05,1.14e-05,0,2.22e-05,8.76e-05
"ANO3",0.00014542,0.000187656,0.000496053,0.000322677,0.000181775,0.001726998,0.00023663,0.000341194,8.6e-05,0.000170597,0.000220468,7.27e-05
"ANO4",3.04e-05,0.001096698,0.000285477,0.00021218,3.04e-05,7.79e-05,0.000610018,0.001323602,5.3e-05,3.78e-05,0.000337381,0.001186645
"ANO5",0,0.000279284,0,0.0004498,0,1.32e-05,0,0,0,0.000291697,2.64e-06,0
"ANO6",0.006598156,0.003166891,0.010030998,0.000288906,0.006204531,0.001767647,0.004805713,0.014106721,0.008615519,0.004925165,0.004502719,0.005147011
"ANO7",0.004421012,0.002093082,0.002811323,2.35e-05,0.002242542,0.000220496,0.001643997,0.001180713,0.00110385,0.003810483,0.000799298,0.002562905
"ANO9",0.000248392,6.84e-05,0.000338339,0.000365758,0.000568528,9.18e-05,0.00017335,0.000215472,0.000265624,0.000181661,0.000122889,0.000312841
"ANOS1",0,0.000953562,5.2e-05,0.005097476,5.28e-05,0.001346136,0.010439631,0,0,0.001262068,0.000273129,1.98e-05
"ANPEP",0.000245486,0.000254762,0.000839176,0.218580093,0.00765099,0.014755512,0.042864983,0.571131516,0.070888196,0.004967862,0.016503831,0.003477723
"ANTXR1",0.000125292,0.000220524,0.000358109,0.001595787,0.0001294,0.009468404,0.008414899,8.23e-05,0.000479937,0.001270692,0.001059998,0.006450026
"ANTXR2",0.000529454,0.000709522,0.001389658,9.62e-05,0.001220727,0.00022354,0.000520967,0.001981114,0.004338828,0.002263241,0.000838571,0.000473526
"ANXA1",0.224160826,0.055968634,0.572356907,0.020284394,0.127804636,0.104600602,0.106490372,0.034067412,0.208169234,0.181312109,0.25294468,0.699109361
"ANXA13",0,4.47e-05,3.75e-06,2.89e-06,0,1.12e-05,4.72e-05,6.71e-06,0,2.24e-05,1.87e-06,4.1e-06
"AOC1",0.000214136,0.000881224,0.000786295,8.32e-07,4.12e-05,8.86e-06,0.00061606,0,0.000104006,9.02e-05,8.86e-07,1.48e-05
"AOC3",5.42e-05,7.65e-05,0.00051376,8.25e-05,0.000106921,0.000299847,0.000240633,6.29e-05,0.000120146,8.87e-05,0.000505902,0.000174151
"AP2M1",0.014545781,0.006213,0.0099767,0.011667758,0.012460694,0.007622293,0.050064644,0.007649559,0.120512716,0.005218695,0.01279647,0.049121921
"AP2S1",0.001575992,0.001735548,0.004982947,0.001013119,0.00116231,0.005809291,0.003757273,0.004299363,0.002054871,0.002505558,0.002082342,0.003086998
"APBB1",2.52e-05,5.73e-05,5.48e-05,0.000378881,2.15e-05,0.000152398,0.000436066,2.96e-05,0.000346129,0.000152915,9.98e-05,6.92e-05
"APBB1IP",0.000345773,0.0006625,0.002452088,0.000727507,0.000229302,0.001887579,0.000534931,0.000531688,0.00086017,0.000755334,0.003572287,0.000222023
"APCDD1",2.13e-05,0.01488658,6.08e-05,3.17e-05,2.9e-05,0.000425373,0.000703561,3.64e-05,1.67e-05,0.006657887,1.37e-05,0.000152698
"APLNR",8.47e-06,1.08e-05,3.5e-05,7.15e-06,6.16e-06,0.000112738,4.72e-05,6.31e-06,2.14e-05,9.01e-06,3.35e-05,5.39e-06
"APLP1",0.001320848,0.000621366,0.00619431,0.002810681,0.001278917,0.00149941,0.002810681,0.000449955,0.008004332,0.003728195,0.001917279,0.002096585
"APLP2",0.156156767,0.106080997,0.575363609,0.150350797,0.166691419,0.352499496,0.172493481,0.239265324,0.212253283,0.119308664,0.387958074,0.153107641
"APP",0.172056503,0.243294478,0.490336111,0.274567538,0.633517787,0.284319664,2.01817999,0.830651058,0.577329533,0.18104812,0.268224445,0.64146413
"AQP1",0.000559874,0.002156506,0.063346137,0.046864497,0.002030199,0.002558461,0.00063314,0.485750665,0.001157353,0.000369754,0.000502202,0.000328524
"AQP10",0,0,0,0,0,0,9.72e-05,0,0,6.54e-07,0,2.3e-06
"AQP2",5.27e-06,8.68e-07,1.05e-05,5.08e-06,5.27e-06,0,9.14e-06,0,1.02e-06,5.21e-06,4.48e-06,1.05e-06
"AQP3",0.003656325,0.003941106,0.003054451,0.006672156,0.000480854,0.011434944,0.003366985,0.022101849,0.000321365,0.014644146,0.000131946,0.000996286
"AQP4",0,2.68e-05,0.002204763,0.002203584,0,6.03e-05,7.36e-06,6.07e-05,0,2.33e-06,0,0
"AQP5",0.001893792,0.000164182,1.64e-05,0.002200279,3.88e-05,0.00028073,0.003335876,2.48e-05,2.11e-06,0.002308135,1.45e-06,6.17e-06
"AQP8",0,0,2.52e-06,0,0,0,0,0,0,0,3.79e-06,0
